iter	Passed	Remaining
421	2281	3124
422	2286	3118
423	2292	3113
424	2297	3107
425	2302	3102
426	2308	3098
427	2313	3092
428	2319	3087
429	2324	3081
430	2330	3076
431	2335	3070
432	2341	3065
433	2346	3060
434	2351	3054
435	2357	3049
436	2362	3044
437	2368	3039
438	2373	3033
439	2379	3028
440	2385	3023
441	2390	3018
442	2395	3012
443	2401	3007
444	2406	3001
445	2412	2996
446	2417	2991
447	2423	2986
448	2428	2980
449	2434	2975
450	2440	2971
451	2445	2965
452	2451	2960
453	2457	2955
454	2462	2949
455	2468	2944
456	2473	2938
457	2478	2932
458	2484	2928
459	2489	2922
460	2494	2916
461	2500	2912
462	2506	2906
463	2511	2900
464	2517	2896
465	2522	2890
466	2527	2884
467	2533	2880
468	2538	2874
469	2543	2868
470	2551	2865
471	2556	2859
472	2561	2853
473	2567	2849
474	2572	2843
475	2578	2838
476	2584	2833
477	2589	2827
478	2594	2822
479	2600	2817
480	2605	2811
481	2611	2806
482	2616	2801
483	2621	2795
484	2627	2790
485	2633	2785
486	2638	2779
487	2644	2774
488	2650	2769
489	2655	2763
490	2661	2758
491	2667	2753
492	2672	2748
493	2677	2742
494	2683	2737
495	2688	2732
496	2694	2727
497	2700	2722
498	2706	2717
499	2713	2713
500	2719	2708
501	2725	2703
502	2732	2699
503	2737	2694
504	2743	2689
505	2749	2684
506	2754	2678
507	2762	2675
508	2768	2670
509	2774	2666
510	2780	2661
511	2785	2655
512	2791	2650
513	2796	2644
514	2802	2638
515	2807	2633
516	2812	2627
517	2817	2621
518	2822	2615
519	2828	2610
520	2833	2605
521	2839	2599
522	2845	2595
523	2850	2589
524	2856	2584
525	2861	2578
526	2866	2572
527	2872	2567
528	2877	2562
529	2882	2556
530	2888	2550
531	2893	2545
532	2898	2539
533	2904	2534
534	2909	2528
535	2914	2523
536	2919	2517
537	2925	2511
538	2930	2506
539	2935	2500
540	2941	2495
541	2946	2489
542	2951	2484
543	2957	2479
544	2962	2473
545	2967	2467
546	2973	2462
547	2978	2456
548	2983	2451
549	2989	2445
550	2994	2439
551	2999	2434
552	3004	2428
553	3009	2422
554	3014	2417
555	3020	2411
556	3025	2406
557	3030	2400
558	3035	2395
559	3041	2389
560	3046	2383
561	3051	2378
562	3056	2372
563	3061	2366
564	3067	2361
565	3073	2356
566	3078	2351
567	3084	2346
568	3090	2340
569	3095	2334
570	3100	2329
571	3106	2324
572	3111	2318
573	3116	2313
574	3122	2308
575	3127	2302
576	3133	2297
577	3138	2291
578	3144	2286
579	3149	2280
580	3154	2275
581	3160	2269
582	3166	2264
583	3172	2259
584	3177	2254
585	3183	2248
586	3188	2243
587	3193	2237
588	3198	2232
589	3204	2226
590	3209	2221
591	3215	2215
592	3220	2210
593	3225	2204
594	3231	2199
595	3236	2194
596	3242	2188
597	3247	2183
598	3253	2177
599	3258	2172
600	3264	2167
601	3269	2161
602	3274	2156
603	3280	2150
604	3285	2145
605	3291	2139
606	3296	2134
607	3302	2128
608	3307	2123
609	3312	2117
610	3317	2112
611	3323	2106
612	3328	2101
613	3334	2095
614	3339	2090
615	3344	2084
616	3349	2079
617	3354	2073
618	3360	2068
619	3366	2063
620	3371	2057
621	3376	2052
622	3382	2047
623	3387	2041
624	3393	2035
625	3398	2030
626	3403	2024
627	3408	2019
628	3414	2013
629	3419	2008
630	3424	2002
631	3429	1997
632	3435	1991
633	3440	1985
634	3445	1980
635	3450	1974
636	3455	1969
637	3461	1963
638	3466	1958
639	3471	1952
640	3477	1947
641	3482	1941
642	3487	1936
643	3492	1930
644	3497	1925
645	3502	1919
646	3508	1914
647	3513	1908
648	3518	1902
649	3523	1897
650	3529	1892
651	3534	1886
652	3539	1881
653	3545	1875
654	3550	1870
655	3556	1864
656	3561	1859
657	3567	1854
658	3572	1848
659	3578	1843
660	3583	1837
661	3588	1832
662	3593	1826
663	3599	1821
664	3603	1815
665	3609	1810
666	3614	1804
667	3619	1799
668	3625	1793
669	3630	1788
670	3636	1782
671	3642	1778
672	3647	1772
673	3653	1766
674	3658	1761
675	3664	1756
676	3669	1750
677	3676	1745
678	3681	1740
679	3686	1735
680	3692	1729
681	3697	1724
682	3703	1718
683	3708	1713
684	3713	1707
685	3719	1702
686	3724	1696
687	3729	1691
688	3734	1685
689	3740	1680
690	3745	1674
691	3750	1669
692	3756	1664
693	3762	1658
694	3767	1653
695	3773	1648
696	3778	1642
697	3783	1637
698	3789	1631
699	3794	1626
700	3799	1620
701	3805	1615
702	3810	1609
703	3815	1604
704	3820	1598
705	3825	1593
706	3831	1587
707	3836	1582
708	3841	1576
709	3846	1571
710	3852	1565
711	3857	1560
712	3862	1554
713	3868	1549
714	3873	1543
715	3878	1538
716	3883	1532
717	3888	1527
718	3893	1521
719	3898	1516
720	3903	1510
721	3909	1505
722	3914	1499
723	3919	1494
724	3924	1488
725	3930	1483
726	3935	1477
727	3940	1472
728	3947	1467
729	3952	1461
730	3957	1456
731	3962	1450
732	3968	1445
733	3973	1439
734	3979	1434
735	3985	1429
736	3990	1424
737	3995	1418
738	4001	1413
739	4006	1407
740	4012	1402
741	4018	1397
742	4023	1391
743	4028	1386
744	4035	1381
745	4040	1375
746	4045	1370
747	4052	1365
748	4057	1359
749	4063	1354
750	4069	1349
751	4075	1343
752	4081	1338
753	4087	1333
754	4092	1328
755	4099	1323
756	4105	1317
757	4110	1312
758	4117	1307
759	4122	1301
760	4129	1297
761	4135	1291
762	4140	1286
763	4148	1281
764	4154	1276
765	4159	1270
766	4166	1265
767	4171	1260
768	4177	1254
769	4182	1249
770	4187	1243
771	4194	1238
772	4199	1233
773	4204	1227
774	4211	1222
775	4216	1217
776	4221	1211
777	4228	1206
778	4233	1201
779	4239	1195
780	4256	1193
781	4263	1188
782	4268	1183
783	4274	1177
784	4280	1172
785	4285	1166
786	4291	1161
787	4297	1156
788	4302	1150
789	4308	1145
790	4314	1139
791	4319	1134
792	4326	1129
793	4331	1123
794	4337	1118
795	4344	1113
796	4349	1107
797	4355	1102
798	4361	1097
799	4366	1091
800	4372	1086
801	4377	1080
802	4382	1075
803	4387	1069
804	4393	1064
805	4398	1058
806	4404	1053
807	4409	1047
808	4414	1042
809	4420	1036
810	4425	1031
811	4430	1025
812	4435	1020
813	4441	1014
814	4446	1009
815	4451	1003
816	4458	998
817	4464	993
818	4471	988
819	4476	982
820	4482	977
821	4489	972
822	4494	966
823	4499	961
824	4506	956
825	4512	950
826	4517	945
827	4524	939
828	4529	934
829	4534	928
830	4541	923
831	4547	918
832	4553	912
833	4559	907
834	4564	902
835	4571	896
836	4577	891
837	4583	886
838	4590	880
839	4595	875
840	4601	869
841	4606	864
842	4612	858
843	4619	853
844	4624	848
845	4629	842
846	4641	838
847	4646	832
848	4653	827
849	4658	822
850	4663	816
851	4670	811
852	4675	805
853	4681	800
854	4688	795
855	4693	789
856	4700	784
857	4706	778
858	4711	773
859	4719	768
860	4724	762
861	4730	757
862	4735	751
863	4740	746
864	4746	740
865	4752	735
866	4757	729
867	4763	724
868	4768	718
869	4773	713
870	4778	707
871	4784	702
872	4789	696
873	4794	691
874	4800	685
875	4805	680
876	4810	674
877	4816	669
878	4821	663
879	4826	658
880	4832	652
881	4837	647
882	4841	641
883	4847	636
884	4852	630
885	4857	625
886	4863	619
